round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,losses,optimizer
100,0.4115280210971832,0.800000011920929,0.2343372404575348,1.0,relu,2,0.2,100,4,0,binary_crossentropy,Adam
100,0.5962037444114685,0.6666666865348816,0.39060449600219727,0.800000011920929,relu,2,0.2,100,4,1,binary_crossentropy,Adam
100,0.6571569442749023,0.6666666865348816,0.6751498579978943,0.6000000238418579,relu,2,0.2,100,4,2,binary_crossentropy,Adam
100,0.5053184032440186,0.8666666746139526,0.3480845093727112,1.0,relu,2,0.2,100,8,0,binary_crossentropy,Adam
100,0.2789120078086853,0.8666666746139526,0.22641363739967346,1.0,relu,2,0.2,100,8,1,binary_crossentropy,Adam
100,0.37083369493484497,0.8666666746139526,0.3293837010860443,1.0,relu,2,0.2,100,8,2,binary_crossentropy,Adam
100,0.31849437952041626,0.8666666746139526,0.24253880977630615,1.0,relu,2,0.2,100,16,0,binary_crossentropy,Adam
100,0.45456555485725403,0.800000011920929,0.3077394664287567,1.0,relu,2,0.2,100,16,1,binary_crossentropy,Adam
100,0.4055629372596741,0.800000011920929,0.2904508113861084,1.0,relu,2,0.2,100,16,2,binary_crossentropy,Adam
100,0.2309780716896057,1.0,0.20906703174114227,1.0,relu,2,0.2,100,32,0,binary_crossentropy,Adam
100,0.41355136036872864,0.800000011920929,0.32597658038139343,1.0,relu,2,0.2,100,32,1,binary_crossentropy,Adam
100,0.34260210394859314,0.8666666746139526,0.24029140174388885,1.0,relu,2,0.2,100,32,2,binary_crossentropy,Adam
100,0.18045423924922943,1.0,0.11142122745513916,1.0,relu,2,0.2,100,64,0,binary_crossentropy,Adam
100,0.16406482458114624,1.0,0.11999382823705673,1.0,relu,2,0.2,100,64,1,binary_crossentropy,Adam
100,0.18210750818252563,1.0,0.1371871531009674,1.0,relu,2,0.2,100,64,2,binary_crossentropy,Adam
100,0.6345661878585815,0.6666666865348816,0.681924045085907,0.6000000238418579,relu,3,0.2,100,4,0,binary_crossentropy,Adam
100,0.6613273620605469,0.6666666865348816,0.6767071485519409,0.6000000238418579,relu,3,0.2,100,4,1,binary_crossentropy,Adam
100,0.5052328109741211,0.7333333492279053,0.3845497965812683,1.0,relu,3,0.2,100,4,2,binary_crossentropy,Adam
100,0.4950990080833435,0.6666666865348816,0.27341943979263306,1.0,relu,3,0.2,100,8,0,binary_crossentropy,Adam
100,0.4619084894657135,0.800000011920929,0.3355373740196228,1.0,relu,3,0.2,100,8,1,binary_crossentropy,Adam
100,0.47636011242866516,0.6666666865348816,0.4298114776611328,0.6000000238418579,relu,3,0.2,100,8,2,binary_crossentropy,Adam
100,0.3369639217853546,0.8666666746139526,0.19696083664894104,1.0,relu,3,0.2,100,16,0,binary_crossentropy,Adam
100,0.3660849928855896,0.800000011920929,0.2770313322544098,1.0,relu,3,0.2,100,16,1,binary_crossentropy,Adam
100,0.37392452359199524,0.8666666746139526,0.22694125771522522,1.0,relu,3,0.2,100,16,2,binary_crossentropy,Adam
100,0.32383856177330017,0.8666666746139526,0.21986131370067596,1.0,relu,3,0.2,100,32,0,binary_crossentropy,Adam
100,0.2999305725097656,0.9333333373069763,0.17578887939453125,1.0,relu,3,0.2,100,32,1,binary_crossentropy,Adam
