"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNU4-2",2796.56704296043,10.9509234978333,1.05215204192232,10.4081188473727,2.27676055279091e-25,4.14803005112976e-21
"SNORA73B",1396.51918100497,7.61284682786015,0.777130267239117,9.7961013086082,1.17015198051621e-22,1.06594994665124e-18
"RNU4-1",821.814240156845,10.7164935844831,1.11702815041576,9.59375426706512,8.49368988065287e-22,5.15821786452049e-18
"RNY3",48.7941774834398,25.0691495014699,2.71787067327423,9.22381986309489,2.86700489152279e-20,1.30584905296634e-16
"SNORA12",155.488373983979,8.00292469099137,0.947253554635205,8.44855598781401,2.94927815750054e-17,1.07465797503005e-13
"SNORA53",223.676871142176,6.64321524948772,0.80325493705874,8.27036964604665,1.3354431489568e-16,4.05507312180732e-13
"SNORD15B",124.911031735701,6.09020878021166,0.776369291677151,7.84447407374304,4.34771706839991e-15,1.13158653241683e-11
"RNU1-11P",6.46605983299648,22.2459230736926,2.93973046356277,7.56733426735046,3.80960728906121e-14,8.67590439992578e-11
"SNORA23",243.174893466602,8.04458632041707,1.07140157102035,7.50846978202189,5.98224913267757e-14,1.21100663275836e-10
"SNORA22",96.5248363049958,6.97130986289345,0.971131778506267,7.1785415915606,7.0458957263895e-13,1.2836917423909e-09
"SNORA38B",22.4696802696086,5.79823660991555,0.824504951288188,7.03238543426151,2.03032001906599e-12,3.36276367521484e-09
"ZNF460",301.163135305467,3.58831821054762,0.5111924222259,7.01950587397774,2.22654256094553e-12,3.38044824315555e-09
"SNORA20",39.2172733680787,6.66894596197818,0.965014528403749,6.91072078780971,4.82197309302592e-12,6.75780982937226e-09
"SNORD94",67.9379108889087,3.98107254016387,0.590122914163882,6.74617515200959,1.5179336623949e-11,1.97537381394091e-08
"ZBTB20",247.351132064052,3.68559576664499,0.549498062835607,6.70720429408976,1.98388432688483e-11,2.40962590343431e-08
"SNORA74B",75.958200030077,8.34553520405163,1.28996801422905,6.46956754895924,9.82837876403662e-11,1.1191452043874e-07
"SNORA71D",176.633490153675,8.13042323390401,1.27496763314193,6.37696442055401,1.80632403270061e-10,1.93584809128073e-07
